Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Petersburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
795372,  IS,00085,N068B,I-85 NB Exit 068B,Ramp,123,City of Petersburg,026,Dinwiddie County,0.17,I-85 North Exit 68C,CEUS 460-P Washington St,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
781222,  IS,00085,N068C,I-85 NB Exit 068C,Ramp,123,City of Petersburg,026,Dinwiddie County,0.07,I-85 North Exit 68B,CEUS 460 Wythe St,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
140178,  IS,00085,S    ,, ,123,City of Petersburg,026,Dinwiddie County,1.25,SCL Petersburg,Squirrel Level Road,24000,F,87%,1%,1%,1%,10%,1%,C,0.1044,A,1.0000,22000,F,2009,,47000,F,88%,1%,1%,1%,10%,1%,C,,,,46000,F
140034,  IS,00085,S    ,, ,123,City of Petersburg,026,Dinwiddie County,2.72,Squirrel Level Road,I-95,27000,F,87%,1%,1%,1%,10%,1%,F,,,,24000,F,2009,,52000,F,88%,1%,1%,1%,10%,1%,F,,,,50000,F
040613,  IS,00095,N    ,I-95 NB, ,123,City of Petersburg,074,Prince George County,1.15,Rives Rd,Wagner Rd,15000,A,85%,1%,1%,0%,13%,0%,F,0.1176,A,1.0000,14000,A,2009,,31000,A,85%,1%,1%,0%,13%,0%,F,0.1073,A,0.5708,29000,A
040614,  IS,00095,N    ,I-95 NB, ,123,City of Petersburg,074,Prince George County,2.79,Wagner Rd,US 460 West St,19000,B,85%,1%,1%,0%,13%,0%,F,0.1085,A,1.0000,18000,B,2009,,43000,B,85%,1%,1%,0%,13%,0%,F,0.0962,A,0.5644,40000,B
040400,  IS,00095,N    ,I-95 NB, ,123,City of Petersburg,074,Prince George County,0.50,US 460 West St,I-85,19000,N,85%,1%,1%,0%,13%,0%,N,0.1085,N,1.0000,18000,N,2009,,43000,N,85%,1%,1%,0%,13%,0%,N,,,,40000,N
140314,  IS,00095,N    ,I-95 NB, ,123,City of Petersburg,026,Dinwiddie County,0.44,I-85,"US 301, Bus US 460 Washington St",44000,B,91%,1%,1%,1%,7%,0%,F,0.0940,A,1.0000,43000,B,2009,,87000,B,91%,1%,1%,1%,7%,0%,F,0.0910,A,0.5182,84000,B
140321,  IS,00095,N    ,I-95 NB, ,123,City of Petersburg,026,Dinwiddie County,0.64,"US 301, Bus US 460 Washington St",SCL Colonial Heights,0,?,,,,,,,X,,,,,,,,0,?,,,,,,,X,,,,,
789275,  IS,00095,N047A,I-95 NB Exit 047A,Ramp,123,City of Petersburg,074,Prince George County,0.17,I-95 North,123-9008 Rives Rd,840,A,,,,,,,X,,,,830,A,2009,,,,,,,,,,,,,,,
789276,  IS,00095,N048A,I-95 NB Exit 048A,Ramp,123,City of Petersburg,074,Prince George County,0.35,I-95 North,123-9010 Wagner Rd,290,A,,,,,,,X,0.1979,B,1.0000,320,A,2009,,,,,,,,,,,,,,,
781963,  IS,00095,N050X,I-95 NB Exit 050X,Ramp,123,City of Petersburg,074,Prince George County,0.26,Ramp From US 460 West,Ramp to US 301 North,10000,A,,,,,,,X,0.1388,A,1.0000,11000,A,2009,,,,,,,,,,,,,,,
795369,  IS,00095,N050X,I-95 NB Exit 050X,Ramp,123,City of Petersburg,074,Prince George County,0.14,Ramp From US 301,Ramp to Wythe & Washington Streets,14000,B,,,,,,,X,0.1194,A,1.0000,15000,B,2009,,,,,,,,,,,,,,,
140029,  IS,00095,S    ,I-95 SB, ,123,City of Petersburg,074,Prince George County,0.34,SCL Petersburg,Rives Rd,14000,A,85%,1%,1%,0%,13%,0%,F,0.1171,A,1.0000,13000,A,2009,,28000,A,85%,1%,1%,0%,13%,0%,F,0.0000,?,0.0000,25000,A
