796314,  78,00691,     ,78-691, ,078,Rappahannock County,078,Rappahannock County,0.12,Dead End,US 211 Lee Highway,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
765314,  78,00707,     ,78-707,Pine Hill Rd,078,Rappahannock County,078,Rappahannock County,0.38,Dead End,Madison County Line; 56-707,40,R,,,,,,,X,,,,,,05/10/2006,,,,,,,,,,,,,,,
765315,  78,00707,     ,78-707,Nethers Rd,078,Rappahannock County,078,Rappahannock County,0.40,Madison County Line; 56-707,78-601; Sharp Rock Rd,370,R,,,,,,,X,,,,,,05/10/2006,,,,,,,,,,,,,,,
765316,  78,00707,     ,78-707,Sharp Rock Rd,078,Rappahannock County,078,Rappahannock County,1.29,78-601 Nethers Rd,1.29 ME 78-601 Nethers Rd,70,R,,,,,,,X,,,,,,05/10/2006,,,,,,,,,,,,,,,
765317,  78,00707,     ,78-707,Sharp Rock Rd,078,Rappahannock County,078,Rappahannock County,0.10,1.29 ME 78-601 Nethers Rd,SR 231 F T Valley Rd,190,R,,,,,,,X,,,,,,05/10/2006,,,,,,,,,,,,,,,
401953,  78,00707,     ,78-707,Slate Mills Rd,078,Rappahannock County,078,Rappahannock County,3.10,SR 231 F T Valley Rd,78-607 Quaintance Rd,310,G,97%,1%,2%,0%,0%,0%,C,,,,310,G,2009,,,,,,,,,,,,,,,
401954,  78,00707,     ,78-707,Slate Mills Rd,078,Rappahannock County,078,Rappahannock County,1.70,78-607 Quaintance Rd,78-644 Reva Rd,470,G,97%,1%,2%,0%,0%,0%,F,,,,480,G,2009,,,,,,,,,,,,,,,
401955,  78,00707,     ,78-707,Slate Mills Rd,078,Rappahannock County,078,Rappahannock County,0.50,78-644 Reva Rd,Culpeper County Line,510,G,97%,1%,2%,0%,0%,0%,F,,,,520,G,2009,,,,,,,,,,,,,,,
401956,  78,00729,     ,78-729,Richmond Rd,078,Rappahannock County,078,Rappahannock County,0.11,Culpeper County Line,78-615 Castleton Ford Rd,1000,G,96%,1%,2%,1%,0%,0%,C,,,,1100,G,2009,,,,,,,,,,,,,,,
401957,  78,00729,     ,78-729,Richmond Rd,078,Rappahannock County,078,Rappahannock County,1.10,78-615 Castleton Ford Rd,78-676 Gore Rd,1100,G,96%,1%,2%,1%,0%,0%,F,,,,1100,G,2009,,,,,,,,,,,,,,,
401958,  78,00729,     ,78-729,Richmond Rd,078,Rappahannock County,078,Rappahannock County,1.53,78-676 Gore Rd,"78-640 S, Forest Grove Rd",1100,G,96%,1%,2%,1%,0%,0%,F,,,,1100,G,2009,,,,,,,,,,,,,,,
401959,  78,00729,     ,78-729,Richmond Rd,078,Rappahannock County,078,Rappahannock County,0.07,"78-640 S, Forest Grove Rd",78-640 N Battle Mountain Rd,940,G,96%,1%,2%,1%,0%,0%,F,,,,960,G,2009,,,,,,,,,,,,,,,
401960,  78,00729,     ,78-729,Richmond Rd,078,Rappahannock County,078,Rappahannock County,0.90,78-640 N Battle Mountain Rd,78-618 Laurel Mills Rd,860,G,96%,1%,2%,1%,0%,0%,F,,,,880,G,2009,,,,,,,,,,,,,,,
401961,  78,00729,     ,78-729,Richmond Rd,078,Rappahannock County,078,Rappahannock County,1.69,78-618 Laurel Mills Rd,78-622 Aaron Mountain Rd,620,G,96%,1%,2%,1%,0%,0%,F,,,,630,G,2009,,,,,,,,,,,,,,,
401962,  78,00729,     ,78-729,Richmond Rd,078,Rappahannock County,078,Rappahannock County,3.75,78-622 Aaron Mountain Rd,US 211 Lee Highway,880,G,96%,1%,2%,1%,0%,0%,F,,,,890,G,2009,,,,,,,,,,,,,,,
765318,  78,00729,     ,78-729,Ben Venue Rd,078,Rappahannock County,078,Rappahannock County,3.44,US 211 Lee Highway,US 522 Zachary Taylor Ave,810,R,,,,,,,X,,,,,,05/16/2003,,,,,,,,,,,,,,,
765319,  78,00730,     ,78-730,Indian Run Rd,078,Rappahannock County,078,Rappahannock County,1.00,Culpeper County Line,US 211 Lee Highway,290,R,,,,,,,X,,,,,,04/21/2006,,,,,,,,,,,,,,,
765320,  78,00749,     ,78-749,Moon Rd,078,Rappahannock County,078,Rappahannock County,0.80,Madison County Line,Dead End,30,R,,,,,,,X,,,,,,05/10/2006,,,,,,,,,,,,,,,
401963,  78,01001,     ,78-1001,Main St,078,Rappahannock County,078,Rappahannock County,0.20,US 211 Lee Hwy,US 522 Sperryville Pike,1400,G,98%,0%,1%,0%,0%,0%,C,,,,1400,G,2009,,,,,,,,,,,,,,,
401964,  78,01002,     ,78-1002,Water St,078,Rappahannock County,078,Rappahannock County,0.65,US 522 Berryville Pike,78-1003 Sons Rd,130,G,95%,2%,1%,0%,2%,0%,C,,,,140,G,2009,,,,,,,,,,,,,,,
401965,  78,01003,     ,78-1003,Sons Rd,078,Rappahannock County,078,Rappahannock County,0.08,78-1002 Water St,US 211 Lee Highway,170,G,95%,4%,1%,0%,1%,0%,C,,,,170,G,2009,,,,,,,,,,,,,,,
796315,  78,01005,     ,78-1005, ,078,Rappahannock County,078,Rappahannock County,0.23,78-636 Schoolhouse Rd,US 211 Lee Highway,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
791987,  78,01010,     ,78-1010,Smith Creek Rd,078,Rappahannock County,078,Rappahannock County,0.10,Cul-de-Sac,US 522 Zachary Taylor Ave,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
765321,  78,01101,     ,78-1101,Gay St,322,Town of Washington,078,Rappahannock County,0.05,Dead End,78-626 Porter St; Mount Salem Ave; Porter St,110,R,,,,,,,X,,,,,,04/04/2003,,,,,,,,,,,,,,,
765322,  78,01101,     ,78-1101,Gay St,322,Town of Washington,078,Rappahannock County,0.20,78-626 Porter St; Mount Salem Ave; Porter St,Bus US 211,640,R,,,,,,,X,,,,,,04/04/2003,,,,,,,,,,,,,,,
765323,  78,01101,     ,78-1101,Gay St,322,Town of Washington,078,Rappahannock County,0.09,Bus US 211,78-622 Calvert St,140,R,,,,,,,X,,,,,,04/04/2003,,,,,,,,,,,,,,,
765324,  78,01101,     ,78-1101,Gay St,322,Town of Washington,078,Rappahannock County,0.12,78-622 Calvert St,78-628 Main St,46,R,,,,,,,X,,,,,,04/04/2003,,,,,,,,,,,,,,,
765325,  78,01102,     ,78-1102,Jett St,322,Town of Washington,078,Rappahannock County,0.04,78-1101 Gay St,Bus US 211,280,R,,,,,,,X,,,,,,04/04/2003,,,,,,,,,,,,,,,
765326,  78,01103,     ,78-1103,Porter St,322,Town of Washington,078,Rappahannock County,0.05,Dead End,Bus US 211,40,R,,,,,,,X,,,,,,04/04/2003,,,,,,,,,,,,,,,
765327,  78,09908,     ,78-9908, ,078,Rappahannock County,078,Rappahannock County,0.10,US 211,Rappahannock HS,1700,R,,,,,,,X,,,,,,05/15/2003,,,,,,,,,,,,,,,
765328,  78,09917,     ,78-9917, ,078,Rappahannock County,078,Rappahannock County,0.12,78-636 Schoolhouse Rd,Rappahannock Elem Sch,170,R,,,,,,,X,,,,,,05/16/2003,,,,,,,,,,,,,,,
- - - - - - - - - - - - - - - - - - - - - - - - - - - - End of Report - - - - - - - - - - - - - - - - - - - - - - - - - - - - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
