Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
686130, 129,00001,     ,129-1,Market St,129,City of Salem,129,City of Salem,0.06,Calhoun St,US 11 West Main St,3300,G,99%,0%,0%,0%,0%,0%,C,0.0889,F,0.5525,3500,G,2011,,,,,,,,,,,,,,,
586007, 129,00002,     ,129-2,Idaho St,129,City of Salem,129,City of Salem,0.18,ALT US 460 Texas St,Illinois Ave,3100,N,99%,0%,0%,0%,0%,0%,N,0.0972,N,0.5036,3400,N,2011,,,,,,,,,,,,,,,
686136, 129,00002,     ,129-2,Idaho St,129,City of Salem,129,City of Salem,0.27,Illinois Ave,Lynchburg Tpke,3100,G,99%,0%,0%,0%,0%,0%,F,0.0972,F,0.5036,3400,G,2011,,,,,,,,,,,,,,,
781764, 129,00003,     ,129-3,King St,129,City of Salem,129,City of Salem,0.07,Front Ave,Colorado St,240,G,99%,0%,1%,0%,0%,0%,F,0.1185,F,1.0000,260,G,2011,,,,,,,,,,,,,,,
686142, 129,00004,     ,129-4,Mill Lane,129,City of Salem,129,City of Salem,0.37,W Riverside Dr,W Main St,8200,G,98%,0%,1%,0%,1%,0%,C,0.0893,F,0.5151,8700,G,2011,,,,,,,,,,,,,,,
796409, 129,00005,     ,129-5,Piedmont Ave,129,City of Salem,129,City of Salem,0.10,129-8051 Eddy Ave,129-8002 Mulberry St,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
796410, 129,00006,     ,129-6,Green Ridge Rd,129,City of Salem,129,City of Salem,0.20,SR 419 Electric Rd,129-8018 Dalewood Ave,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
686700, 129,08002,     ,129-8002,Riverside Dr,129,City of Salem,129,City of Salem,0.40,WCL Salem; 80-639 West Riverside Dr,Mill Lane,4700,G,99%,0%,1%,0%,0%,0%,F,0.1025,F,0.5549,5000,G,2011,,,,,,,,,,,,,,,
686515, 129,08002,     ,129-8002,Riverside Dr,129,City of Salem,129,City of Salem,0.93,Mill Lane,Twelve OClock Knob Rd,6000,G,98%,0%,1%,0%,0%,0%,F,0.1076,F,0.5548,6400,G,2011,,,,,,,,,,,,,,,
686517, 129,08002,     ,129-8002,Riverside Dr,129,City of Salem,129,City of Salem,0.05,Twelve OClock Knob Rd,Lucas St,2500,N,98%,0%,1%,0%,0%,0%,N,0.0929,N,0.5174,2600,N,2011,,,,,,,,,,,,,,,
686514, 129,08002,     ,129-8002,Piedmont Ave,129,City of Salem,129,City of Salem,0.20,Lucas St,Mulberry St,5700,G,98%,0%,1%,0%,0%,0%,F,0.0929,N,0.5174,6100,G,2011,,,,,,,,,,,,,,,
686518, 129,08002,     ,129-8002,Mulberry St,129,City of Salem,129,City of Salem,0.19,Piedmont Ave,Front Ave,2500,N,98%,0%,1%,0%,0%,0%,N,0.0929,N,0.5174,2600,N,2011,,,,,,,,,,,,,,,
